"number","GSM","file","url"
1,"GSM8494211","[GSM849421_10k_bins.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_10k_bins.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_10k_bins.txt.gz"
2,"GSM8494212","[GSM849421_pilot80k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot80k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot80k_normalized.txt.gz"
3,"GSM8494213","[GSM849421_160k_bins.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_160k_bins.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_160k_bins.txt.gz"
4,"GSM8494214","[GSM849421_20k_bins.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_20k_bins.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_20k_bins.txt.gz"
5,"GSM8494215","[GSM849421_40k_bins.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_40k_bins.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_40k_bins.txt.gz"
6,"GSM8494216","[GSM849421_80k_bins.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_80k_bins.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_80k_bins.txt.gz"
7,"GSM8494217","[GSM849421_pilot10k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot10k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot10k_normalized.txt.gz"
8,"GSM8494218","[GSM849421_pilot160k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot160k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot160k_normalized.txt.gz"
9,"GSM8494219","[GSM849421_pilot20k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot20k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot20k_normalized.txt.gz"
10,"GSM84942110","[GSM849421_pilot40k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot40k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849421/suppl/GSM849421_pilot40k_normalized.txt.gz"
11,"GSM8494221","[GSM849422_deep10k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep10k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep10k_normalized.txt.gz"
12,"GSM8494222","[GSM849422_deep160k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep160k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep160k_normalized.txt.gz"
13,"GSM8494223","[GSM849422_deep20k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep20k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep20k_normalized.txt.gz"
14,"GSM8494224","[GSM849422_deep40k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep40k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep40k_normalized.txt.gz"
15,"GSM8494225","[GSM849422_deep80k_normalized.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep80k_normalized.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM849nnn/GSM849422/suppl/GSM849422_deep80k_normalized.txt.gz"
