num,Deposited_data,Source,Identifier,Samples,RawData,ProcessedData,Plots
1*,Hi-C from staged embryos,this paper,ArrayExpress: E-MTAB-4918,92,Y,Y,
2,Hi-C from Kc cells,Li et al. (2015),GEO: GSE63515,17,,Y,
3,Hi-C from 16-18hpf embryos,Sexton et al. (2012),GEO: GSE34453,13,,Y,
4*,RNA Pol II ChIP-seq reads from injected staged embryos,this paper,ArrayExpress: E-MTAB-4918,18,Y,Y,
5,RNA Pol II ChIP-seq from staged embryos,Blythe and Wieschaus (2015),GEO: GSE62925,33,,Y,
6,Histone ChIP-seq from staged embryos,Li et al. (2014),GEO: GSE58935,51,,Y,
7,Zld ChIP-seq from 2-3hpf embryos,Sun et al. (2015),GEO: GSE65441,32,,Y,
8,Zld ChIP-seq from staged embryos,Harrison et al. (2011),GEO: GSE30757,3,,Y,
9*,ATAC-seq from staged embryos,Blythe and Wieschaus (2016),GEO: GSE83851,81,Y,Y,
10,BEAF ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,2,,Y,
11,CapH2 ChIP-seq from Kc cells,Van Bortle et al. (2014),GEO: GSE54529,3,,Y,
12,CBP ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,5,,Y,
13,Chromator ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,4,,Y,
14,Barren ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,Null,,Y,
15,CP190 ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,4,,Y,
16,CTCF ChIP-seq from Kc cells,Van Bortle et al. (2014),GEO: GSE54529,5,,Y,
17,DREF ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,2,,Y,
18,GAF ChIP-seq from Kc cells,Van Bortle et al. (2014),GEO: GSE54529,1,,Y,
19,IIC220 ChIP-seq from Kc cells,Van Bortle et al. (2014),GEO: GSE54529,4,,Y,
20,L3mbt ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,2,,Y,
21,Modmdg4 ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,2,,Y,
22,Rad21 ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,4,,Y,
23,"Su(Hw) ChIP-seq from Kc cells [CP190, dCTCF, BEAF]",Wood et al. (2011),GEO: GSE30740,14,,Y,
24,TFIIIC ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,4,,Y,
25,Z4 ChIP-seq from Kc cells,Li et al. (2015),GEO: GSE62904,2,,Y,
26,FlyBase RNA-seq profile,Graveley et al. (2011),http://flybase.org/static_pages/rna-seq/rna-seq_profile_search.html,modENCODE,,,
